Sentence,fuel,machine,others,part,price,service
"Punya injeksi beat, irit, hapunten upami dianggo gancang, teu kunanaon, tapi kadang setir oyag kawas ban kempes.",positive,neutral,neutral,negative,neutral,neutral
Abdi satuju yén Vario langkung saé tibatan Mio,neutral,neutral,negative,neutral,neutral,neutral
"Abdi ngan ukur nganggo NMAX sababaraha bulan, tapi kuring parantos bosen.",neutral,neutral,negative,neutral,neutral,neutral
"Mobil abdi Xenia 1.3 cc, abdi pisan wareg jeung eta.",neutral,neutral,positive,neutral,neutral,neutral
Vario dasarna langkung saé tibatan Mio dina sagala hal,neutral,neutral,negative,neutral,neutral,neutral
Xenia cenah leuwih ekonomis jeung ulah poho yen pajeg mobil ogé ditangtukeun ku CC kandaraan,positive,neutral,neutral,neutral,neutral,neutral
"Asyik pikeun nyetir, Honda Brio masih leuwih senang batan Sirion",neutral,neutral,negative,neutral,neutral,neutral
Sabenerna kuring ogé hayang boga mobil rurusuhan kalawan desain sporty,neutral,neutral,neutral,positive,neutral,neutral
"Bengkel Honda 0001, henteu disarankeun !! Goréng",neutral,neutral,neutral,neutral,neutral,negative
Kijang Innova dasarna juara mobil méwah tapi hargana teu mahal,neutral,neutral,positive,neutral,positive,neutral
"Honda Vario 125 taun 2018 nyaman pisan dianggona, lumayan kanggo nyusul, mesinna mulus dibandingkeun sareng Vario baheula.",neutral,positive,positive,neutral,neutral,neutral
"Irit bahan bakar, mesinna bandel. perjalanan beuki lancar. Harga jual henteu turun, dibandingkeun sareng merek sanés.",positive,positive,neutral,neutral,positive,neutral
"Perasaan ningali Veloz ieu di jalan sanajan anyar, tapi ningali éta biasa waé, henteu pikaresepeun.",neutral,neutral,negative,neutral,neutral,neutral
"Kuring geus dipaké hiji Grand Livina saprak 2008, abdi ampir 400 sarébu km. Ieu masih ngan nyaman, sarta ekonomis.",positive,neutral,positive,neutral,neutral,neutral
"Ieu mobil hébat, masih sanggup ngudag hiji Innova. Ngan awakna, teu kaku pisan. Lamun nyandak eta, ngajalankeun on jalan tol.",neutral,neutral,positive,negative,neutral,neutral
Masih eleh parah ku Pajero Sport,neutral,neutral,positive,neutral,neutral,neutral
Harga murah mangrupikeun salah sahiji kaunggulan Toyota Calya,neutral,neutral,neutral,neutral,positive,neutral
The Rush mangrupakeun SUV midsize pisan pikaresepeun,neutral,neutral,positive,neutral,neutral,neutral
2009 Isuzu Panther Grand touring. Mobil tangguh mesin solar irit tur bandel hargana ngan 167jt bos.,positive,positive,neutral,neutral,positive,neutral
Hiji hal anu bisa dirasakeun kirang ti Xenia nyaeta dina beban pinuh kapasitas kakuatan mobil urang dirasakeun kirang ti optimal.,neutral,negative,neutral,neutral,neutral,neutral
scoopy henteu cocog pikeun murid,neutral,neutral,negative,neutral,neutral,neutral
ulasan hébat ... leres teu aya ragu ngeunaan masalah penanganan ... ngajadikeun Brio fun nyetir,neutral,neutral,positive,positive,neutral,neutral
"Toyota Avanza téh mobil murah, masih teu murah.",neutral,neutral,neutral,neutral,positive,neutral
Mobil nu can pernah katempo di jalan... Mobilio jeung BRV... desainna kacau.. pol awon,neutral,neutral,neutral,negative,neutral,neutral
Avanza langkung praktis dianggo dina rupa-rupa rute anu kaayaan jalanna heureut.,neutral,neutral,positive,neutral,neutral,neutral
"Lamun milih Fortuner, pasti moal kaduhung",neutral,neutral,positive,neutral,neutral,neutral
Anu kuring henteu resep kana Terios nyaéta sukuna henteu kuat sareng bising pisan,neutral,neutral,neutral,negative,neutral,neutral
"Milik motor Yamaha teu matak pusing, sabab pangropéa téh basajan tur murah, teu butuh waktu. @YamahaIndonesia #40thYamaha",neutral,neutral,neutral,neutral,neutral,positive
Tapi tukang reparasi honda di deukeut jalan lingkar mah awon :|,neutral,neutral,neutral,neutral,neutral,negative
"rada impressive, dina watesan harga, alat-alat na tangtu mesin anu ngagunakeun 4 silinder, Kuring yakin eta bakal ngajual ogé.",neutral,neutral,neutral,neutral,positive,neutral
Gemblengna pisan kuciwa jeung Honda HRV,neutral,neutral,negative,neutral,neutral,neutral
Toyota Rush alus keur dipake sapopoe di kota jeung santai keur mudik.,neutral,neutral,positive,neutral,neutral,neutral
"Kabeneran kuring ogé parantos nganggo Livina ti taun 2010. Keluhanna sarua, mesinna ngagerentes sanajan geus sababaraha kali dibalikan.",neutral,negative,neutral,neutral,neutral,neutral
Jazz leuwih nekad ti Brio,neutral,negative,neutral,neutral,neutral,neutral
"Ulah rek di service di bengkel Toyota, mahal teuing, servicena teu nyugemakeun.",neutral,neutral,neutral,neutral,neutral,negative
"Tong ngagaleuh Brio, kanyamananna parah, langkung saé upami Calya sok saé dibawa ka mana waé.",neutral,neutral,positive,neutral,neutral,neutral
"Tong meuli mobil @DaihatsuInd, khususna mobil Xenia, sabab mesinna gampang ngabeledug.",neutral,negative,neutral,neutral,neutral,neutral
"Dina hal kaamanan sareng kaamanan, Grand New Avanza ngagaduhan sababaraha fitur anu ngadukung kaamanan sareng kaamanan.",neutral,neutral,neutral,positive,neutral,neutral
Liburan ka Bali pikeun opat urang sareng Wuling Confero S Lux+. BBM irit pisan,positive,neutral,neutral,neutral,neutral,neutral
Mobil Terios ieu cocog pikeun sagala rupa bumi,neutral,neutral,positive,neutral,neutral,neutral
"Vario gaduh ban tubeless sareng irit bahan bakar ditambah batang anu lega, ngajantenkeun haté anjeun bagja sareng sumanget anjeun.",positive,neutral,neutral,positive,neutral,neutral
"Konsumsi bahan bakar pamor Honda Mobilio tipe e CVT lumayan irit, nyaéta 14,2 km/liter dina laju 40 - 60 km/jam.",positive,neutral,neutral,neutral,neutral,neutral
"Leres mobilna irit BBM, abdi ngeusi sareng tiasa ngurilingan kota janten teu sering eureun di SPBU.",positive,neutral,neutral,neutral,neutral,neutral
SUZUKI 3 mangrupikeun mobil anu murah tapi henteu mirah ningali interior anu padet.,neutral,neutral,neutral,positive,positive,neutral
"Toyota maju, ulah kitu jeung hargana mahal tapi nu meunang saeutik pisan",neutral,neutral,negative,neutral,negative,neutral
"Upami aya masalah anu serius di bengkel mobil Honda di Autoland sareng sigana bakal gratis, aranjeunna pasti bakal nampik jasa.",neutral,neutral,neutral,neutral,neutral,negative
Fortuner mangrupa mobil irit BBM jeung nyaman anu ngan ngagunakeun biodiesel mobil jalan sampurna sarta geus kabuktian ti Jakarta nepi ka Surabaya dua kali dieusian solar malah masih bisa dipaké sabudeureun kota Surabaya.,positive,neutral,positive,neutral,neutral,neutral
"Pokona mah Yamaha teh keren pisan, hareupna masih pang alusna, motor nyaman dipake, mesinna mulus, boh lalaki boh awewe, cocok make Yamaha.",neutral,positive,positive,neutral,neutral,neutral
Kuring ngantosan taun. Iraha Daihatsu Sukabumi gaduh bengkel anu saé sapertos Toyota sareng Honda? naon nu aya ayeuna téh bener awon,neutral,neutral,neutral,neutral,neutral,negative
"Avanza ogé ngajalankeun rada gancang, di jalan tol bisa ngahontal 140 km/jam.",neutral,positive,neutral,neutral,neutral,neutral
"Pikeun bensin Fortuner, teu kedah naros, abdi ngeusian dinten Minggu, sareng tiasa dianggo pikeun dua minggu ka hareup. pisan ekonomis, katuhu?",neutral,positive,neutral,neutral,neutral,neutral
Pangalusna pikeun semi off jalan ruteu na Terios climbs,neutral,positive,neutral,neutral,neutral,neutral
"kalayan desain aerodinamis, anu ngajadikeun mobil Grand New Veloz gampang pisan dikontrol,",neutral,neutral,neutral,positive,neutral,neutral
Mobilio saé saatos penjualan ogé henteu kunanaon,neutral,neutral,positive,neutral,positive,neutral
HRV tatangga kuring gaduh guncangan hareup anu nyaring.,neutral,neutral,neutral,negative,neutral,neutral
"Saur kuring, pikeun harga mobil sakelasna, dugi ka ayeuna IGNIS ieu sigana paling nilai artos.",neutral,neutral,neutral,neutral,positive,neutral
Vario langkung lincah tibatan Mio,neutral,negative,neutral,neutral,neutral,neutral
abdi 2018 Rush G AT varian boga sora mesin kasar.,neutral,negative,neutral,neutral,neutral,neutral
"Avanza ngan ngagunakeun bensin kira-kira 40 liter pikeun 700 km, bro. Ieu bener serius.",positive,neutral,neutral,neutral,neutral,neutral
"Maksadna Karimun Wagon Sunda teh janten referensi yeuh, Kabeneran nuju milarian LCGC anu harga pasarna murah",neutral,neutral,neutral,neutral,positive,neutral
"Ngan ati-ati, aftermarket Mobilios resep ragrag",neutral,neutral,neutral,neutral,negative,neutral
"Seueur pisan anu pikaresepeun ngeunaan mobil Toyota Calya ieu, hargana murah",neutral,neutral,neutral,neutral,negative,neutral
Kawasaki Atlét karasaeun klasik tapi kurang pikagumbiraeun. kawas satengah satengah,neutral,neutral,negative,neutral,neutral,neutral
"Kasimpulanana, nalika nganggo Fortuner VRZ, kanyamanan leres-leres diperyogikeun, interior anu éndah pasti ngajantenkeun anjeun betah dina mobil.",neutral,neutral,positive,positive,neutral,neutral
Mobil Avanza ieu langkung boros tibatan mobil BMW,positive,neutral,neutral,neutral,neutral,neutral
"Salain elegan, motorna oge asik kanggo para nonoman komo sepuh sajaba ti eta, perawatanna oge gampang pisan sareng sparepartna oge murah, nu matak kuring reueus kana produk Honda Salain ti eta oge irit bahan bakar ku mesin injeksi, sangkan mesinna leuwih awet jeung tangguh kanggo perjalanan jauh, padahal mesinna masih alus.",positive,positive,neutral,positive,neutral,positive
"Pelayanan Astra Daihatsu di Jalan Sisingamangaraja lumayan. Service mobil ganti oli, meunang cuci gratis!",neutral,neutral,neutral,neutral,neutral,positive
"Hal bodo Nissan ngeunaan GL éta mesin teu boga Knock Sensor (éta ngan hiji alat, éta bener pelit).",neutral,negative,neutral,neutral,neutral,neutral
"Harga murah, kualitas dijamin, Ertiga memang mobil anu saé",neutral,neutral,positive,neutral,positive,neutral
Avanza aslina mah boros akhir-akhir ieu,negative,neutral,neutral,neutral,neutral,neutral
"Saatos sababaraha waktos, motor ieu nyaman pisan, lemes pisan dina jalan anu ruksak, sapertos piring tanpa guncangan anu signifikan.",neutral,neutral,positive,neutral,neutral,neutral
ku ngagunakeun Avanza super irit. Biaya kuring ogé terjangkau.,positive,neutral,neutral,neutral,neutral,neutral
"Lamun dibawa ka imah ieu mobil, pasti bakal nyaman, awak anjeun moal nyeri.",neutral,neutral,positive,neutral,neutral,neutral
"Grup abdi nganggo Xenia 1.0, tétéla yén kakuatan Xenia 1.0 ogé henteu kunanaon",neutral,positive,neutral,neutral,neutral,neutral
Sigra ogé cukup kuat pikeun dipaké pikeun ngebut di jalan kejem di Sumatra.,neutral,positive,neutral,neutral,neutral,neutral
"Kuring make Xenia Li VVTi 2007, jadi sadar yen kuring boga mobil 1000 cc mirah.",neutral,neutral,neutral,neutral,positive,neutral
"Pangropéa motor Yamaha Nmax henteu rumit, sareng hargana terjangkau.",neutral,neutral,neutral,neutral,positive,positive
Kauntungannana mobil Avanza panganyarna nyaeta suku cadang na gampang pikeun manggihan.,neutral,neutral,neutral,positive,neutral,neutral
Hébat New Xenia gaduh harga anu ramah sareng interior anu santun pikeun jinis anu paling luhur,neutral,neutral,neutral,positive,positive,neutral
"Brio saé pisan, henteu bohong!",neutral,neutral,positive,neutral,neutral,neutral
"Kusabab kuring boga unit Honda Sonic, hirup bisa ngarasa bébas ngahontal dimana wae Abdi hoyong.",neutral,neutral,positive,neutral,neutral,neutral
"Tapi keur suku mah rada ribut, utamana di jalan macet, suku bener-bener ribut.",neutral,neutral,neutral,negative,neutral,neutral
"Kuring henteu weruh naha, Abdi langkung nyaman jeung generasi kahiji Brio ... Hiji kalawan suku datar, alus pilari lampu pungkur buleud sarta kaca semi-frameless.",neutral,neutral,positive,positive,neutral,neutral
"Meureun kuring geus 5 taun ngagunakeun Kijang Innova. Dina pamakéan sapopoé sengit, mobil ieu ramah pangropéa.",neutral,neutral,neutral,neutral,neutral,positive
Brio sok gaduh karakter anu langkung kuat. Sirion sigana teu boga identitas,neutral,neutral,negative,neutral,neutral,neutral
"mobil abdi Xenia 2004, tipe Li standar. Kaca spion masih model ipis, kirang elegan.",neutral,neutral,neutral,negative,neutral,neutral
"Fortuner bener-bener boros bensin, teu siga Altis anu irit pisan",positive,neutral,neutral,neutral,neutral,neutral
"Éta hadé mun wuiling Almaz. Loba fitur, mesin turbo, awak badag, harga pikaresepeun.",neutral,positive,neutral,positive,positive,neutral
Xexi mindeng dipaké ka Tasikmalaya ngaliwatan Nagrek tanpa masalah.,neutral,neutral,positive,neutral,neutral,neutral
Bengkel Honda AutoBest Soekarno Hatta parah pisan. teu anéh sok sepi.,neutral,neutral,neutral,neutral,neutral,negative
"Dina hal fitur, sirion meunang. Tapi dina hal desain, kuring pikir Brio langkung seksi sareng henteu pikaboseneun",neutral,neutral,neutral,positive,neutral,neutral
"Gemblengna kuring resep Xenia. Murah, desain lucu, pas loba barang, gampang dibawa, teu perlu parkir badag. Dasarna, teu aya hartina.",neutral,neutral,positive,positive,positive,neutral
Toyota Calya irit bahan bakar sareng kabinna tiasa nampung seueur panumpang,positive,neutral,neutral,positive,neutral,neutral
"Kaduhung ngagaleuh Honda Vario, motorna parah pisan.",neutral,neutral,negative,neutral,neutral,neutral
"Honda Beat Sporty irit bahan bakar sareng gaduh model sporti anu saé sareng seueur pilihan warna, tapi kuring resep warna hideung anu keras.",positive,neutral,neutral,positive,neutral,neutral
"Upami Xi tambah, teu kedah ragu pikeun nguji laju sareng mobil kelas anu sanés.",neutral,positive,neutral,neutral,neutral,neutral
Abdi ngan ukur ngawadul yén clutch Xenia atos sareng motor konci panto lungse,neutral,neutral,neutral,negative,neutral,neutral
Salawasna bagja unggal anjeun numpak ngagunakeun Aerox.,neutral,neutral,positive,neutral,neutral,neutral
"Hahaha kabeneran Fitra datang ka cabang honda eta, karyawanna ramah & bengkelna alus + rapih.",neutral,neutral,neutral,neutral,neutral,positive
"ngan ayeuna aya blok, upami anjeun ngaliwat nabrak laju Xenia sigana dasborna aya sora, sapertos henteu cukup kaku.",neutral,neutral,neutral,negative,neutral,neutral
"Jadi kacindekan kuring pikeun XPander: ""Teu bener.""",neutral,neutral,negative,neutral,neutral,neutral
Terios énggal saé dianggo sareng nyaman,neutral,neutral,positive,neutral,neutral,neutral
Kualitas korsi Avanza nyaman sabab ngagunakeun bahan korsi kualitas alus,neutral,neutral,neutral,positive,neutral,neutral
"Tapi kuring reueus boga Karimun Wagon Sunda, mobil ieu kacida andalna jeung ramah saku",neutral,neutral,positive,neutral,positive,neutral
Rush anyar katingalina langkung gagah sareng keren,neutral,neutral,positive,neutral,neutral,neutral
Suku HRV karasa ribut nalika nabrak speed. Sarta eta boga pangaruh kretek-kretek dina panto bagasi. Riweuh,neutral,neutral,neutral,negative,neutral,neutral
"Saprak kuring make Toyota Calya, dompét kuring teu bocor deui alias irit BBM. sareng ulah sering ngeusian BBM deui.",positive,neutral,neutral,neutral,neutral,neutral
"The Toyota Innova solar pisan nikmat keur nyetir, gampang pikeun mulasara tur pisan irit bahan bakar",positive,neutral,positive,neutral,neutral,positive
"Upami anjeun ngajalankeun Brio, éta lincah pisan sareng narik lancar",neutral,positive,neutral,neutral,neutral,neutral
"Langkung saé upami Calya irit, gantungna nyaman, pas pisan, silinder inline 4 sareng téknologi VVT-i tiasa ngadamel taksi online.",positive,neutral,neutral,positive,neutral,neutral
"Pikeun ékonomi suluh, éta pasti Avanza",positive,neutral,neutral,neutral,neutral,neutral
"Scoopy saé pisan, cocog pisan pikeun awéwé. Mesinna mulus oge. ban téh jadi imut.",neutral,positive,positive,positive,neutral,neutral
"Paman Fitra leres ngingetkeun master rem HRV ti dealer, antrian langkung ti 3 bulan, éta émut.",neutral,neutral,neutral,neutral,neutral,negative
Abdi langkung resep Innova kanggo mobil kulawarga sanaos hargana langkung mahal.,neutral,neutral,positive,neutral,negative,neutral
"Mobil abdi Avanza tipe G 1300 cc ti taun 2007 dugi ka ayeuna, mesinna teu rewel sareng bahan bakarna masih irit.",positive,positive,neutral,neutral,neutral,neutral
Suspénsi Xpander lemes sareng nyaman,neutral,neutral,neutral,positive,neutral,neutral
"Ieu langkung saé tibatan mobil kota Honda Jazz anu langkung mahal, pelit dina fitur.",neutral,neutral,neutral,negative,negative,neutral
"Desain dasbor HRV tiis, saolah-olah sagalana berorientasi ka supir",neutral,neutral,neutral,positive,neutral,neutral
"Abdi nganggo Avanza 2009 kalayan transmisi manual. Mesin kualitas luhur pisan. Malah ku pangropéa minimal, hasilna maksimal.",neutral,positive,neutral,neutral,neutral,neutral
"Sigana mah leuwih irit, utamana mah macet di kota-kota gede teu aya pangaruhna, tapi keur luar kota mah lumayan, lampingna oge oke.",positive,neutral,positive,neutral,neutral,neutral
ahirna bisa meuli mobil oge. Pilihan kuring murag kana Daihatsu Xenia Sporty. mobil ieu pisan nyaman. interior pisan nice jeung elegan. Ngajalankeun ogé stabil pisan sareng ajeg.,neutral,positive,positive,positive,neutral,neutral
Konsumsi bahan bakar xenia li mah irit pisan,positive,neutral,neutral,neutral,neutral,neutral
"Avanza boga gaya sakola heubeul, teu cocog pikeun siswa",neutral,neutral,neutral,negative,neutral,neutral
"Brio sae pisan, teu siga mobil baheula mah, si Calya awon",neutral,neutral,negative,neutral,neutral,neutral
Henteu aya anu tiasa ngéléhkeun kateguhan mesin Avanza.,neutral,positive,neutral,neutral,neutral,neutral
Gampang nyetir. Teu beurat. suku cadang anu gampang pikeun manggihan. Aya loba loket Honda deukeut imah. Janten anjeun henteu kedah milarian jauh pikeun lokasi jasa.,neutral,neutral,positive,positive,neutral,positive
"Yamaha Aerox R narik ogé, mesin hébat, awak sporty",neutral,positive,neutral,positive,neutral,neutral
"Taun 2017 abdi meser beat, status abdi mahasiswa janten abdi unggal dinten ka sakola jujur, tarikna nyaman oge lincah tapi hanjakal ground clearancena teu cekap.",neutral,positive,neutral,negative,neutral,neutral
"Kanggo sababaraha alesan, cet Xenia estu gampang sareng mulus.",neutral,neutral,neutral,negative,neutral,neutral
AC Xenia li blue dlx tiis teuing. Éta saé.,neutral,neutral,neutral,positive,neutral,neutral
"Harga anu gampang terjangkau ku saha waé, modél sareng téknologi modéren, pangropéa gampang sareng tangtosna irit bahan bakar sareng saatos penjualan anu saé, sadayana kalayan kualifikasi anu saé. Honda Beat mah saé pisan.",positive,neutral,positive,positive,positive,positive
Fortuner desain interior alus tur awak,neutral,neutral,neutral,positive,neutral,neutral
"Lamun nilik kana spésifikasina, harga Ertiga téh rada mahal",neutral,neutral,neutral,neutral,negative,neutral
Dealer HRV sareng bengkel didinya pelayananna sae katambah murah bro.,neutral,neutral,neutral,neutral,neutral,positive
Mobil kulawarga Toyota Calya lcgc Harga Murah anu teu murah,neutral,neutral,neutral,neutral,positive,neutral
"Padahal umumna teu kunanaon, mun boros bensin mah puguh wé",negative,neutral,positive,neutral,neutral,neutral
"Kuring parantos nganggo Toyota Calya langkung ti sataun di tempat anu ekstrim, tapi dugi ka ayeuna kuring henteu kantos mendakan masalah sareng mobil ieu.",neutral,neutral,positive,neutral,neutral,neutral
"Kuring yakin, sajauh ieu harga jual Toyota leuwih mahal batan merek séjén",neutral,neutral,neutral,neutral,positive,neutral
"Upami anjeun gaduh Toyota, anjeun kedah sabar upami jasana goréng",neutral,neutral,neutral,neutral,neutral,negative
"Honda Vario pasti irit BBM, padahal mah motor matik tapi kencengna masih kuat dibanding motor anu sarua cc jeung transmisi manual.",positive,positive,neutral,neutral,neutral,neutral
Wuling Confero mangrupikeun mobil anu cocog pisan pikeun perjalanan jarak jauh,neutral,neutral,positive,neutral,neutral,neutral
Nyaan kawas Terios anyar,neutral,neutral,positive,neutral,neutral,neutral
"Abdi oge nganggo Honda. Salah sahiji hal anu paling kuring resep ngeunaan merek ieu nyaéta kapraktisanna,",neutral,neutral,positive,neutral,neutral,neutral
"Pertama kali kuring nyobian nyetir Honda Beat anu sporti, kuring resep kumaha ditarikna lancar sareng nalika nanjak éta gampang.",neutral,positive,neutral,neutral,neutral,neutral
"Calya teu dirancang pikeun dipaké dina rupa bumi hésé, éta lemah!",neutral,neutral,neutral,negative,neutral,neutral
"Upami anjeun ngan ukur nganggo Li pikeun bisnis, éta pasti bakal nyaman.",neutral,neutral,positive,neutral,neutral,neutral
"Malah 2010 Altis masih alus, sumawona 2014",neutral,neutral,positive,neutral,neutral,neutral
"Honda Vario ngarasa lincah pisan jeung tangguh dibawa kuring ka mana-mana, motong ngaliwatan unggal tikungan jeung juru Yogyakarta jeung sabudeureunana tanpa salempang ngeunaan nanaon.",neutral,positive,neutral,neutral,neutral,neutral
Suku Honda HRV karasa leuleus. Cinyusu pungkur gampang macét.,neutral,neutral,neutral,negative,neutral,neutral
"Sabenerna, alesan kuring milih Honda éta alatan mesin éta ngan hadé pikeun ngajalankeun dina dasar poean. Leuwih cocog kana rasa kuring. Jadi parobahan minor atawa parobahan badag, ngan masalah rasa",neutral,positive,neutral,neutral,neutral,neutral
"Tadina mah rada ragu-ragu meuli Wuling Confero L, tapi hargana rada bersahabat, nepi ka kapaksa milih ieu kendaraan.",neutral,neutral,neutral,neutral,positive,neutral
Kuring masih milih Avanza sabab reliabiliti mesin urang geus kabuktian.,neutral,negative,neutral,neutral,neutral,neutral
"Xenia Xi anu sporty Sawaktos Anjeun ngahurungkeun AC, sora mesin pisan nyaring",neutral,negative,neutral,neutral,neutral,neutral
kanyamanan Avanza urang téh kiyeu luhur,neutral,neutral,positive,neutral,neutral,neutral
"Kuring boga 2018 HRV E, kakuatan oge santun",neutral,positive,neutral,neutral,neutral,neutral
Karimun Wagon Sunda ngan ukur pas sareng kabutuhan sareng anggaran anjeun supados anjeun tetep tiasa nikmati sareng henteu ngaganggu kabutuhan anjeun anu sanés.,neutral,neutral,neutral,neutral,positive,neutral
"Avanza ieu bodi leuwih alus, irit BBM, suku cadang loba tur murah, leuwih lega, gampang dijual, harga jual mahal, nikmat dibawa ka imah, murah perawatan. Leuwih elegan.",positive,neutral,positive,positive,positive,positive
Honda Brio langkung awis upami anjeun hoyong mobil anu pikaresepeun pikeun nyetir,neutral,neutral,positive,neutral,neutral,neutral
"Avanza téh sabab beuratna kirang, Pak.",neutral,neutral,neutral,positive,neutral,neutral
"Sanes Yamaha 125 ZR teu payu laris, hargana sigana naek.",neutral,neutral,neutral,neutral,negative,neutral
Ieu ngandung harti yén mesin Xenia geus kabuktian alus tur nekad + suluh irit,positive,positive,neutral,neutral,neutral,neutral
"Saur abdi mah si Veloz teh sanes geulis, mamang, teu aya genahna dibandingkeun sareng lawan-lawanna.",neutral,neutral,negative,neutral,neutral,neutral
"Kuring boga 50 mobil rental Xenia, aranjeunna 3 taun heubeul, taya sahijina geus exploded dina mesin.",neutral,positive,neutral,neutral,neutral,neutral
"Sumuhun, éta xpander, fasilitas layanan ogé bener alus",neutral,neutral,neutral,neutral,neutral,positive
Hiji hal anu kuring resep ngeunaan Yamaha nyaéta jasa saatos penjualan,neutral,neutral,neutral,neutral,neutral,positive
Sadaya produk Nissan laris di pasar.,neutral,neutral,positive,neutral,neutral,neutral
"Geus 2 taun teu aya masalah, Sigra bener-bener solid.",neutral,neutral,positive,neutral,neutral,neutral
"Ternyata service di bengkel asli yamaha parah pisan, abdi ngalereskeun starter tangan dugi ka mudik ngan masihan artos ka bengkel tapi tetep teu tiasa nganggo starter.",neutral,neutral,neutral,neutral,neutral,negative
"Duh, duka nyandak Alya",neutral,neutral,negative,neutral,neutral,neutral
"Nalika kuring indit ka dinya dina poe minggu ngan aya sababaraha pagawe, kumaha ieu layanan ti Daihatsu pikeun konsumén na",neutral,neutral,neutral,neutral,neutral,negative
Mesin Avanza ogé didamel ku juragan.,neutral,positive,neutral,neutral,neutral,neutral
"Altis G 2003 MT, mesin karasaeun bener kuat sanajan dina 2.500 rpm.",neutral,positive,neutral,neutral,neutral,neutral
Abdi reueus pisan gaduh mobil Xenia ieu sanajan hargana mahal.,neutral,neutral,positive,neutral,negative,neutral
"Pilihan warna Brio anu lucu, sadayana bingung milih anu mana",neutral,neutral,neutral,positive,neutral,neutral
"Abdi gaduh motor Vespa sprint, eta motor anu abdi pake ti SMA, jaman eta motor paling keren, bagus dan ganteng, harga bersahabat.",neutral,neutral,positive,neutral,positive,neutral
"Avanza bener-bener cocog pikeun liburan sareng kulawarga, nyaman pisan",neutral,neutral,positive,neutral,neutral,neutral
"Xenia 1000 cc oge sae, ekonomis sareng lincah hehe",positive,positive,positive,neutral,neutral,neutral
"Suspensi Toyota Calya nyaman, pas pisan, silinder inline 4 kalayan téknologi VVT-i tiasa ngadamel taksi online",neutral,neutral,neutral,positive,neutral,neutral
"Gaya ertiga nya sae pisan, tarikna oge padet tur bandel tapi hanjakal boros pisan.",negative,positive,neutral,positive,neutral,neutral
"Daihatsu Xenia paling cocog pikeun kuring sareng kulawarga, pangropéa langkung gampang sareng suku cadang langkung mirah tibatan kendaraan merek sanés.",neutral,neutral,positive,positive,neutral,positive
sumpah. GTR kasep pisan,neutral,neutral,positive,neutral,neutral,neutral
"Pikeun kuring, pikeun ékonomi kelas menengah handap, Toyota Calya bener alus pikeun harga na",neutral,neutral,neutral,neutral,positive,neutral
"kalayan kualitas anu disayogikeun & harga anu murah, saur kuring leres-leres mésér Ignis ieu",neutral,neutral,positive,neutral,positive,neutral
"Abdi nganggo Avanza énggal, Bu. Buang bensin haha",negative,neutral,neutral,neutral,neutral,neutral
Cooper leutik tapi mahal,neutral,neutral,neutral,neutral,negative,neutral
Teu bosen-bosen make Vario ka kampus.,neutral,neutral,positive,neutral,neutral,neutral
"Hargana mahal, tapi fiturna sapertos kitu.",neutral,neutral,neutral,negative,negative,neutral
"Lexi's Yamaha speed edan, narik kawas nu meunangna, tapi hehehehe, eta nyedot bensin, bro.",negative,positive,neutral,neutral,neutral,neutral
"Abdi bagja sareng Xenia Li. Anjeun teu kudu méakkeun loba duit, éta hébat.",neutral,neutral,positive,neutral,positive,neutral
"Gas Honda HRV lalaunan di jalan, malah teu disada pisan.",neutral,negative,neutral,neutral,neutral,neutral
"Xenia mangrupa mobil irit minyak (ngan 2 liter), suku cadang efisien (ngan sababaraha suku cadang).",positive,neutral,neutral,positive,neutral,neutral
Pedalaman mobil Avanza Veloz ogé parantos dijantenkeun kabin Avanza Veloz kalayan penampilan anu langkung modern sareng elegan.,neutral,neutral,neutral,positive,neutral,neutral
"Ieu jelas yén desain Mazda CX - 3 leuwih pikaresepeun lamun ditempo ti hareup, samping jeung pungkur.",neutral,neutral,neutral,positive,neutral,neutral
"Sajauh ieu teu acan kantos aya masalah sareng mesinna memang tangguh sareng bandel, saé pikeun jalan nanjak di gunung. Dasarna, Avanza pangsaéna.",neutral,positive,positive,neutral,neutral,neutral
"Desain interior leuwih basajan, elegan jeung classy dina CX3 ti CHR nu sigana pajeulit",neutral,neutral,neutral,negative,neutral,neutral
"Duka teuing, bengkel resmi Honda teu mampuh... di dieu anjeun terang langkung saé.",neutral,neutral,neutral,neutral,negative,neutral
Jazz narik hadé ti Brio,neutral,negative,neutral,neutral,neutral,neutral
"Saur kuring mah, tina jihat panon, Brio téh méwah sanajan ciri-cirina minimal jeung pamorna ogé béda.",neutral,neutral,positive,negative,neutral,neutral
Suku HRV sigana teu kuat,neutral,neutral,neutral,negative,neutral,neutral
Ignis mangrupikeun mobil kota anu paling murah kalayan titik-titik di luhur,neutral,neutral,neutral,neutral,positive,neutral
Gemblengna Avanza alus iwal ti pamakéan béngsin pisan boros,negative,neutral,positive,neutral,neutral,neutral
"Ngan aya hiji kalemahan, hese, hese, hese, hese",neutral,neutral,neutral,negative,neutral,neutral
Abdi hoyong seueur pesaing énggal anu kaluar sareng modél kalayan fitur anu langkung seger. Avanza ieu masih aya dina haté kuring,neutral,neutral,positive,neutral,neutral,neutral
"1:15 bénsin kaluar kota (pisan ekonomis, katuhu) gesit di juru, tapi tetep baku.",positive,positive,neutral,neutral,neutral,neutral
